job_name,salary,company,work_addr,work_year,education,company_size,state,welfare,modify_time,
应用软件工程师,10K-18K,江苏德新科智能传感器研究院有限公司,南京,3-5年,本科,20-99人,股份制企业,五险一金/绩效奖金/餐补,2019-04-23 20:49:36,
.net软件工程师,8K-15K,南京传众网络科技有限公司,南京,3-5年,不限,20-99人,民营,五险一金/餐补/交通补助/节日福利/周末双休,2019-04-24 10:59:17,
java开发实习生 双休五险一金,4K-6K,南京华锐软件开发有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/年终分红/带薪年假,2019-04-24 14:04:06,
java开发工程师,8K-12K,江苏梦立渊软件技术有限公司,南京-玄武区,3-5年,大专,20-99人,民营,节日福利/五险一金/加班补助/带薪年假/餐补,2019-04-24 19:26:04,
java开发工程师,6K-10K,商禾信息科技有限公司,南京-雨花台区,3-5年,本科,100-499人,股份制企业,五险一金/节日福利,2019-04-24 21:51:21,
Java开发工程师,8K-15K,南京海启信息技术有限公司,南京-玄武区,1-3年,本科,20-99人,合资,五险一金/加班补助/餐补/房补/定期体检,2019-04-24 19:03:41,
java开发工程师,7K-9K,南京太亚科技股份有限公司,南京-浦口区,1-3年,本科,100-499人,其它,五险一金/带薪年假/高温补贴/节日福利/周末双休,2019-04-24 19:24:54,
Java开发（驻场开发，介意勿扰）,6K-8K,广州市易杰数码科技有限公司,南京-秦淮区,1-3年,大专,100-499人,合资,五险一金/周末双休/带薪年假/节日福利/定期体检,2019-04-24 19:09:44,
Java web开发工程师,10K-15K,南京科融数据系统股份有限公司,南京-秦淮区,3-5年,本科,100-499人,股份制企业,节日福利/五险一金/年底双薪/带薪年假/定期体检,2019-04-24 15:06:29,
java开发实习生/java工程师/java开发助理,4K-6K,南京网燃网络科技有限公司,南京,不限,大专,100-499人,股份制企业,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 17:46:01,
Java开发工程师,6K-10K,南京释加软件科技有限公司,南京,不限,本科,20-99人,民营,五险一金/绩效奖金/加班补助/餐补/带薪年假,2019-04-24 19:17:34,
高级java开发工程师,10K-20K,江苏梓如电子商务股份有限公司,南京,1-3年,大专,500-999人,股份制企业,五险一金/全勤奖/每年多次调薪/绩效奖金/带薪年假,2019-04-24 19:15:09,
JAVA开发工程师,8K-10K,淮安智软信息技术有限公司,南京,3-5年,大专,20-99人,民营,每年多次调薪/弹性工作/不加班/定期体检/住房补贴,2019-04-24 00:50:55,
java+python（人工智能方向)开发签约委培,8K-16K,北京百知教育科技有限公司,南京,不限,大专,500-999人,股份制企业,14薪/住房补贴/每年多次调薪/周末双休/五险一金,2019-04-24 19:10:32,
java开发工程师,15K-20K,上海华钦信息科技股份有限公司,南京-浦口区,3-5年,本科,1000-9999人,合资,五险一金/年底双薪/周末双休/试用期全额,2019-04-24 00:52:13,
Java开发工程师,5K-7K,永银文化发展集团有限公司,南京,3-5年,大专,500-999人,民营,,2019-04-24 00:50:19,
java工程师 java开发工程师 java软件工程师 java程序员 WEB开发,8K-10K,南京贞观互联网科技有限公司,南京,1-3年,大专,20-99人,民营,五险一金/绩效奖金/全勤奖/交通补助/餐补,2019-04-24 21:36:04,
Java开发工程师,15K-20K,中电智能技术南京有限公司,南京,3-5年,本科,20-99人,国企,五险一金/交通补助/餐补/通讯补助/带薪年假,2019-04-24 18:03:50,
Java开发工程师,8K-15K,南京语道智能技术有限公司,南京,3-5年,本科,20-99人,民营,绩效奖金,2019-04-24 14:39:44,
电子电气转行软件开发(JAVA、软件测试),3K-6K,南京爬虫信息科技有限公司,南京,不限,大专,500-999人,股份制企业,五险一金/年底双薪/绩效奖金/餐补/弹性工作,2019-04-24 18:04:43,
初级java开发工程师/java实习生,4K-6K,南京易欣博软件技术有限公司,南京-江宁区,不限,大专,100-499人,民营,五险一金/年底双薪/加班补助/全勤奖/弹性工作,2019-04-24 15:05:10,
java开发工程师,8K-16K,合肥维天运通信息科技股份有限公司,南京-雨花台区,3-5年,大专,500-999人,民营,每年多次调薪/五险一金/绩效奖金/带薪年假/节日福利,2019-04-24 14:10:48,
高级java开发工程师,10K-16K,合肥维天运通信息科技股份有限公司,南京-雨花台区,3-5年,大专,500-999人,民营,五险一金/年底双薪/绩效奖金/带薪年假/员工旅游,2019-04-24 14:10:48,
java开发工程师,8K-10K,南京泰通科技股份有限公司,南京,3-5年,大专,100-499人,民营,五险一金/弹性工作/免费班车/节日福利/带薪年假,2019-04-24 15:06:41,
Java开发实习生,4K-6K,苏州云柯数据服务有限公司,南京-雨花台区,不限,大专,100-499人,民营,五险一金/绩效奖金/包住/交通补助/全勤奖,2019-04-24 19:27:49,
java开发工程师,10K-15K,深圳市拓保软件有限公司南京分公司,南京,3-5年,本科,1000-9999人,民营,五险一金/节日福利/员工旅游,2019-04-24 00:51:43,
Java开发工程师实习生（五险一金 双休）,4K-6K,苏州云柯数据服务有限公司,南京-雨花台区,不限,大专,100-499人,民营,五险一金/绩效奖金/包住/交通补助/全勤奖,2019-04-24 19:24:37,
Java开发工程师,8K-12K,南京九洲会计咨询有限公司,南京,3-5年,本科,100-499人,民营,年底双薪/绩效奖金/带薪年假/员工旅游/节日福利,2019-04-24 19:20:21,
java开发工程师,6K-8K,安徽科大国创云网科技有限公司,南京-建邺区,1-3年,大专,1000-9999人,民营,五险一金/绩效奖金/交通补助/餐补/带薪年假,2019-04-24 19:10:34,
java开发工程师,6K-8K,南京所由所以信息科技有限公司,南京,1-3年,大专,20-99人,民营,创业公司/五险/周末双休/绩效奖金/五险一金,2019-04-24 19:11:54,
java开发工程师助理/Java实习生双休五险,4K-6K,南京网燃网络科技有限公司,南京,不限,大专,100-499人,股份制企业,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 10:40:55,
Java开发实习生 （可留用）,2.4K-3.5K,南京杰谱企业管理咨询有限公司,南京-雨花台区,不限,本科,100-499人,民营,加班补助/全勤奖/周末双休,2019-04-24 14:26:12,
java开发工程师,10K-18K,南京海得睿智企业管理咨询有限公司,南京-建邺区,3-5年,本科,20-99人,民营,周末双休/五险一金/不加班/节日福利/通讯补助,2019-04-24 17:10:33,
项目年终奖Java工程师助理/Java开发可实习,4K-6K,江苏耀东文化传媒有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/全勤奖/包住,2019-04-24 10:40:24,
JAVA开发工程师,8K-10K,苏州云柯数据服务有限公司,南京-雨花台区,1-3年,本科,100-499人,民营,五险一金/绩效奖金/包住/交通补助/全勤奖,2019-04-24 19:02:22,
java开发工程师,6K-12K,江苏嘉羿科技有限公司,南京,1-3年,本科,20人以下,不限,五险一金/绩效奖金/全勤奖/交通补助/餐补,2019-04-24 19:25:15,
JAVA开发docker方向/1.5年以上/星火路地铁,10K-15K,南京英锐祺科技有限公司,南京,1-3年,大专,20-99人,民营,五险一金/餐补/带薪年假/员工旅游/节日福利,2019-04-24 19:23:09,
中级Java开发工程师,8K-12K,南京无上信息科技有限公司,南京-雨花台区,3-5年,大专,20-99人,民营,五险一金/绩效奖金/餐补/带薪年假,2019-04-24 19:13:24,
java开发工程师初级,6K-10K,上海颉硕信息科技有限公司,南京-玄武区,1-3年,大专,100-499人,民营,周末双休/五险一金/餐补/带薪年假/定期体检,2019-04-24 19:28:13,
java开发工程师,8K-10K,南京欣海互联科技发展有限公司,南京,1-3年,大专,20-99人,民营,五险一金/年底双薪/包吃/周末双休/试用期全额,2019-04-24 19:26:27,
初级java软件开发工程师（双休+年终奖金）,3K-6K,江苏耀东文化传媒有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/全勤奖/包住,2019-04-24 17:45:36,
Java开发,8K-12K,南京银尔兴投资顾问有限公司,南京-建邺区,1-3年,大专,20-99人,民营,五险一金/节日福利/周末双休/年底双薪,2019-04-24 19:18:21,
五险一金+餐补java开发实习生/java开发,4K-6K,阜宁阜惠科技信息有限公司,南京,不限,大专,20-99人,合资,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 09:54:30,
java开发工程师,7K-12K,北京思特奇信息技术股份有限公司,南京-鼓楼区,1-3年,本科,1000-9999人,上市公司,五险一金/绩效奖金/加班补助/餐补/交通补助,2019-04-24 19:08:17,
Java开发工程师 后台开发 3年,10K-15K,江苏端木软件技术有限公司,南京,3-5年,本科,100-499人,民营,定期体检/节日福利/五险一金,2019-04-24 10:05:28,
java开发工程师,8K-15K,江苏中堃数据技术有限公司,南京,3-5年,不限,20-99人,股份制企业,五险一金/餐补,2019-04-24 19:02:16,
java开发工程师 餐补房补+双休,4K-6K,才秀集团,南京,不限,中专,1000-9999人,股份制企业,五险一金/全勤奖/包吃/年底双薪/绩效奖金,2019-04-24 09:33:24,
Java开发工程师,7K-12K,南京优泰科技发展有限公司,南京,1-3年,本科,20-99人,民营,交通补助/餐补,2019-04-24 17:50:14,
Java开发工程师,7K-9K,江苏金恒信息科技股份有限公司,南京,3-5年,本科,100-499人,股份制企业,14薪/周末双休/五险一金/绩效奖金/加班补助,2019-04-24 09:46:46,
Java 高级开发工程师-NJ,16K-20K,爱云信息技术(北京)有限公司,南京,5-10年,本科,100-499人,合资,创业公司/五险一金/绩效奖金/股票期权/交通补助,2019-04-24 13:37:54,
Java软件开发实习/接收应届生可培养,3K-5K,南京爬虫信息科技有限公司,南京,不限,大专,500-999人,股份制企业,五险一金/年底双薪/餐补/房补/带薪年假,2019-04-24 09:56:09,
软件开发储备生（java、web）双休五险,4K-6K,南京网燃网络科技有限公司,南京,不限,大专,100-499人,股份制企业,五险一金/年底双薪/绩效奖金/全勤奖/带薪年假,2019-04-24 17:47:07,
java开发,9K-12K,江苏金恒信息科技股份有限公司,南京,3-5年,本科,100-499人,股份制企业,14薪/周末双休/五险一金/绩效奖金/加班补助,2019-04-24 09:44:43,
JAVA开发工程师,15K-20K,南京东启信息科技有限公司,南京,3-5年,大专,20-99人,民营,五险一金/定期体检/员工旅游,2019-04-24 19:27:14,
Java开发工程师,10K-15K,杭州信雅达风险管理信息技术有限公司,南京-建邺区,3-5年,大专,100-499人,上市公司,交通补助/餐补/节日福利/定期体检/五险一金,2019-04-24 19:18:14,
java中级开发工程师,5K-10K,南京笃行计算机科技有限公司,南京-雨花台区,1-3年,本科,20-99人,民营,五险一金/绩效奖金/节日福利/全勤奖,2019-04-24 20:47:42,
Java开发工程师（南京）,8K-12K,南京和瑞供应链管理有限公司,南京,3-5年,本科,100-499人,民营,节日福利/五险一金/带薪年假/定期体检/员工旅游,2019-04-24 16:46:00,
高级JAVA开发工程师,12K-16K,江苏泊朗智能科技有限公司,南京-雨花台区,5-10年,本科,100-499人,民营,五险一金/绩效奖金/年终分红/交通补助/创业公司,2019-04-24 09:44:35,
java开发工程师,8K-15K,江苏高速公路信息工程有限公司,南京,3-5年,本科,100-499人,国企,五险一金/餐补/通讯补助/交通补助/补充医疗保险,2019-04-24 11:32:27,
Java开发实习生,4K-6K,南京易欣博软件技术有限公司,南京-雨花台区,无经验,大专,100-499人,民营,五险一金/年底双薪/加班补助/全勤奖/弹性工作,2019-04-24 10:00:41,
java开发工程师,8K-16K,南京嵩讯科技开发有限公司,南京,3-5年,本科,20-99人,民营,五险一金/年底双薪/带薪年假/节日福利,2019-04-24 09:10:31,
Java开发工程师,6K-12K,南京水动力信息科技有限公司,南京,3-5年,本科,20-99人,民营,五险一金/绩效奖金/餐补/带薪年假/节日福利,2019-04-24 19:08:18,
诚聘 Java开发实习生——双休，五险一金,4K-6K,中兴软件技术(济南)有限公司南京分公司,南京,不限,大专,1000-9999人,合资,五险一金/交通补助/餐补/房补/通讯补助,2019-04-24 10:27:18,
中高Java开发工程师（南京）(001204),15K-25K,启迪国信科技有限公司,南京-雨花台区,3-5年,本科,100-499人,民营,,2019-04-24 10:53:12,
JAVA开发工程师,10K-12K,江苏泊朗智能科技有限公司,南京-雨花台区,3-5年,本科,100-499人,民营,五险一金/绩效奖金/年终分红/交通补助/创业公司,2019-04-24 09:44:36,
Java开发工程师,6K-12K,南师大科技园栖霞管理(南京)有限公司,南京,1-3年,本科,20人以下,民营,五险一金/提供宿舍/周末双休/年底十三薪/房补,2019-04-24 09:17:01,
Java高级开发工程师,10K-15K,南京笃行计算机科技有限公司,南京-雨花台区,3-5年,本科,20-99人,民营,五险一金/绩效奖金/节日福利,2019-04-24 20:45:21,
java开发工程师,薪资面议,中软国际科技服务有限公司深圳分公司,南京,3-5年,本科,10000人以上,上市公司,每年多次调薪/周末双休/五险一金/绩效奖金/带薪年假,2019-04-24 11:26:48,
java开发工程师,8K-13K,北京宇信科技集团股份有限公司,南京-建邺区,1-3年,本科,1000-9999人,民营,五险一金/绩效奖金/餐补/通讯补助/带薪年假,2019-04-22 10:27:19,
高级Java开发工程师,10K-20K,南京甄视智能科技有限公司,南京,3-5年,本科,100-499人,民营,五险一金/绩效奖金/年终分红/加班补助/交通补助,2019-04-24 09:20:45,
JAVA+AI开发实习生,8K-16K,中青才智教育投资(北京)有限公司,南京,不限,大专,500-999人,国企,五险一金/年底双薪/加班补助/全勤奖/包住,2019-04-24 09:49:10,
Java开发工程师,10K-15K,南京贝若偲生物科技有限公司,南京,不限,本科,20-99人,民营,周末双休/五险一金/带薪年假/节日福利/年终分红,2019-04-24 09:29:53,
JAVA开发工程师,10K-15K,南京世赢乾网络科技有限公司,南京,3-5年,本科,20-99人,民营,五险一金/绩效奖金/全勤奖/交通补助/餐补,2019-04-24 09:51:28,
Java开发工程师,6K-10K,赞同科技股份有限公司,南京,1-3年,本科,1000-9999人,民营,五险一金/餐补/通讯补助,2019-04-24 16:07:32,
高级java开发工程师,15K-20K,思源电气股份有限公司,南京,5-10年,本科,1000-9999人,股份制企业,五险一金/年底双薪/绩效奖金/带薪年假/定期体检,2019-04-24 10:17:24,
Java开发方向程序员（实习生/应届生）,4K-6K,南京德俊仁广告有限公司,南京,不限,大专,100-499人,民营,五险一金/周末双休/员工旅游/高温补贴/节日福利,2019-04-24 10:11:26,
Java高级开发工程师,12K-18K,南京弈米互动网络科技有限公司,南京-玄武区,5-10年,大专,20-99人,民营,,2019-04-24 19:28:34,
java开发工程师,10K-15K,南京市宁远职业培训学校,南京-玄武区,不限,大专,不限,其它,节日福利/五险一金/通讯补助/加班补助/餐补,2019-04-24 19:28:55,
IT企业直聘java开发/助理,4K-6K,才秀集团,南京,不限,中专,1000-9999人,股份制企业,五险一金/全勤奖/包吃/年底双薪/绩效奖金,2019-04-24 09:29:00,
国企直招Java开发实习生/java开发助理,4K-6K,中兴软件技术(济南)有限公司南京分公司,南京,不限,不限,1000-9999人,合资,五险一金/交通补助/餐补/通讯补助/节日福利,2019-04-24 10:27:18,
国企直招Java开发工程师 高薪稳定,5K-8K,中兴软件技术(济南)有限公司南京分公司,南京,不限,大专,1000-9999人,合资,五险一金/年底双薪/交通补助/餐补/通讯补助,2019-04-24 10:27:18,
诚聘 Java开发实习生——双休,4K-6K,中兴软件技术(济南)有限公司南京分公司,南京,不限,大专,1000-9999人,合资,五险一金/年底双薪/交通补助/餐补/通讯补助,2019-04-24 10:27:18,
Java开发工程师,9K-15K,南京圣唯思科技有限公司,南京,3-5年,本科,20-99人,民营,五险一金/带薪年假/节日福利/周末双休/定期体检,2019-04-24 16:00:43,
对日软件开发JAVA/.NET/COBOL/Angular,6K-10K,江苏海隆软件技术有限公司,南京,3-5年,本科,1000-9999人,上市公司,五险一金/绩效奖金/交通补助/餐补/带薪年假,2019-04-24 19:18:20,
java开发工程师,8K-16K,南京速塔智能科技有限公司,南京,1-3年,本科,20-99人,民营,五险一金/餐补/交通补助/周末双休/带薪年假,2019-04-24 19:17:45,
java高级开发工程师,15K-20K,南京秒品物联网科技有限公司,南京,3-5年,本科,20人以下,民营,弹性工作/绩效奖金,2019-04-24 18:26:12,
Java开发实习生/java开发助理/java程序员,4K-6K,中兴软件技术(济南)有限公司南京分公司,南京,不限,大专,1000-9999人,合资,五险一金/年底双薪/交通补助/餐补/通讯补助,2019-04-24 10:27:18,
java开发工程师,6K-8K,江苏梦立渊软件技术有限公司,南京,1-3年,不限,20-99人,民营,带薪年假/节日福利/五险一金/加班补助,2019-04-24 19:10:26,
Java开发工程师,10K-15K,新智认知数据服务有限公司,南京-雨花台区,1-3年,本科,1000-9999人,上市公司,五险一金/餐补/通讯补助/带薪年假/节日福利,2019-04-24 17:44:02,
Java 开发,6K-8K,江苏梦立渊软件技术有限公司,南京,1-3年,大专,20-99人,民营,,2019-04-24 19:04:50,
JAVA开发工程师,6K-8K,扬州明辰信息科技有限公司,南京,3-5年,本科,20-99人,民营,通讯补助/交通补助/餐补/员工旅游/绩效奖金,2019-04-24 13:10:37,
java+大数据开发实习助理（住宿+五险）,6K-8K,才秀集团,南京,不限,中专,1000-9999人,股份制企业,五险一金/全勤奖/包吃/年底双薪/绩效奖金,2019-04-24 10:29:24,
java开发工程师,5K-10K,南京泰瑞信息技术有限公司,南京,3-5年,本科,100-499人,民营,五险一金,2019-04-24 09:13:03,
Java开发工程师-南京,薪资面议,中软国际科技服务有限公司深圳分公司,南京-玄武区,3-5年,大专,10000人以上,上市公司,节日福利/五险一金/带薪年假/定期体检/周末双休,2019-04-22 16:08:00,
java开发工程师,8K-12K,南京宝玮科技有限公司,南京-玄武区,1-3年,不限,100-499人,民营,五险一金/年底双薪/绩效奖金/加班补助/带薪年假,2019-04-24 10:11:01,
java高级开发工程师,15K-25K,南京橙红科技股份有限公司,南京,5-10年,本科,20-99人,股份制企业,五险一金/周末双休/餐补/员工旅游/定期体检,2019-04-24 14:28:22,
中级java开发,薪资面议,中软国际科技服务有限公司深圳分公司,南京-建邺区,3-5年,大专,10000人以上,上市公司,五险一金/定期体检/弹性工作/节日福利,2019-04-22 10:06:59,
高级java开发工程师,15K-30K,中科三清科技有限公司,南京,不限,本科,100-499人,国企,五险一金/绩效奖金/餐补/带薪年假/补充医疗保险,2019-04-24 10:23:15,
java开发工程师,8K-15K,江苏滚滚向前科技有限公司,南京-建邺区,3-5年,本科,500-999人,民营,周末双休/五险一金/年底双薪/股票期权/餐补,2019-04-24 08:49:56,
Java开发工程师（中国制造网）,9K-16K,焦点科技股份有限公司,南京,1-3年,本科,1000-9999人,上市公司,节日福利/五险一金/绩效奖金/包吃/带薪年假,2019-04-23 09:34:00,
JAVA / Pytho开发工程师（中级开发工程师）,10K-14K,安擎(天津)计算机有限公司,南京-雨花台区,1-3年,大专,100-499人,民营,餐补/节日福利/周末双休/带薪年假/五险一金,2019-04-24 09:13:18,
Java开发工程师实习生,7.5K-15K,北京百知教育科技有限公司,南京,不限,大专,500-999人,股份制企业,14薪/住房补贴/每年多次调薪/周末双休/五险一金,2019-04-24 10:51:25,
java高级开发工程师,15K-20K,众能联合数字技术有限公司,南京-雨花台区,3-5年,本科,100-499人,民营,五险一金/带薪年假/餐补/节日福利/创业公司,2019-04-23 10:31:04,
JAVA开发工程师,10K-20K,南京星邺汇捷网络科技有限公司,南京,3-5年,本科,100-499人,民营,五险一金/通讯补助/带薪年假/补充医疗保险/定期体检,2019-04-24 09:17:50,
java开发程师(外派三山街),8K-12K,南京宁普信息技术有限公司,南京-秦淮区,1-3年,大专,20-99人,民营,五险一金/绩效奖金/加班补助/交通补助/餐补,2019-04-24 11:47:50,
高级java开发工程师,8K-15K,江苏滚滚向前科技有限公司,南京,5-10年,本科,500-999人,民营,每年多次调薪/周末双休/五险一金/年底双薪/股票期权,2019-04-24 08:49:56,
软件开发中级工程师（JAVA）,6K-12K,福建新大陆软件工程有限公司,南京,3-5年,本科,1000-9999人,民营,节日福利/五险一金/年底双薪/绩效奖金/通讯补助,2019-04-24 13:49:46,
Java开发工程师（2020届实习）,2K-4K,焦点科技股份有限公司,南京,无经验,本科,1000-9999人,上市公司,包吃/包住/免费班车,2019-04-23 09:35:58,
java开发/ETL开发工程师-南京,11K-20K,北京宇信科技集团股份有限公司,南京,1-3年,本科,1000-9999人,民营,五险一金/餐补/通讯补助/带薪年假/补充医疗保险,2019-04-22 10:27:31,
java开发初级工程师,7K-14K,中青才智教育投资(北京)有限公司,南京,不限,大专,500-999人,国企,五险一金/年底双薪/加班补助/全勤奖/房补,2019-04-24 10:09:49,
Java研发工程师（企业代招，金融方向）,6K-8K,南京翼职盟教育科技有限公司,南京,1-3年,本科,20人以下,民营,,2019-04-24 09:21:14,
android安卓开发,10K-15K,辽宁瑞华实业集团高新科技有限公司北京分公司,南京,3-5年,本科,100-499人,股份制企业,五险一金/绩效奖金/交通补助/餐补/通讯补助,2019-04-24 13:21:05,
安卓开发工程师,10K-15K,众能联合数字技术有限公司,南京-雨花台区,3-5年,本科,100-499人,民营,五险一金/带薪年假/餐补/节日福利/创业公司,2019-04-23 10:31:04,
java工程师,7K-11K,南京橙红科技股份有限公司,南京,1-3年,本科,20-99人,股份制企业,五险一金/周末双休/餐补/员工旅游/定期体检,2019-04-24 14:28:22,
java高级研发工程师,10K-20K,南京耐威特瑞科技有限公司,南京,1-3年,大专,20-99人,民营,周末双休/绩效奖金/节日福利,2019-04-24 14:32:58,
开发工程师,4.5K-8K,江苏豪之诺软件科技有限公司上海分公司,南京,不限,大专,500-999人,民营,周末双休/五险一金/年底双薪/加班补助/节日福利,2019-04-24 14:02:54,
java实习生,4K-6K,南京正达软件技术有限公司,南京,无经验,大专,20-99人,不限,五险一金/年底双薪/交通补助/餐补/通讯补助,2019-04-24 12:27:37,
软件开发工程师,5K-10K,南京罗金科技有限公司,南京,不限,大专,20-99人,民营,五险一金/年底双薪/加班补助/餐补/员工旅游,2019-04-24 11:03:22,
游戏服务器开发助理,6K-8K,才秀集团,南京,不限,中专,1000-9999人,股份制企业,五险一金/年底双薪/包吃/包住/交通补助,2019-04-24 10:14:34,
中高级java软件工程师,9K-16K,北京卡洛其咨询有限公司,南京,3-5年,本科,1000-9999人,股份制企业,五险一金/绩效奖金/包住/交通补助/餐补,2019-04-24 12:34:18,
JAVA实训生助理/周末双休,4K-6K,南京冉之恒信息咨询有限公司,南京,不限,大专,20-99人,民营,周末双休/五险一金/年底双薪/带薪年假/节日福利,2019-04-24 12:58:39,
.net开发工程师（子公司）,4K-8K,南京亿科人群健康研究院有限公司,南京,不限,本科,20-99人,民营,,2019-04-24 09:56:40,
计算机编程助理JAVA,6K-8K,苏州达内信息科技有限公司,南京,不限,中专,1000-9999人,上市公司,五险一金/年底双薪/绩效奖金/全勤奖/带薪年假,2019-04-24 08:42:34,
前端开发工程师,10K-15K,江苏苏源高科技有限公司,南京-秦淮区,3-5年,大专,100-499人,民营,五险一金/带薪年假/定期体检/节日福利,2019-04-24 13:43:54,
（实习生+理工科优先）.NET开发,4K-6K,才秀人人南京分公司,南京,不限,大专,1000-9999人,民营,,2019-04-24 09:39:34,
Android开发工程师(外包),8K-12K,南京宁普信息技术有限公司,南京-雨花台区,1-3年,大专,20-99人,民营,节日福利/五险一金/绩效奖金/加班补助/交通补助,2019-04-23 09:54:19,
Java中级工程师,10K-20K,常宁数据产业(常州)有限公司,南京-玄武区,3-5年,本科,100-499人,合资,创业公司/五险一金/绩效奖金/交通补助/通讯补助,2019-04-24 09:27:01,
Java应届毕业生,4K-6K,常宁数据产业(常州)有限公司,南京-玄武区,不限,本科,100-499人,合资,创业公司/五险一金/绩效奖金/交通补助/通讯补助,2019-04-24 09:27:01,
